temp_in,statetime
27.9,"2019-10-23 07:42:24"
27.8,"2019-10-23 07:42:14"
27.9,"2019-10-23 07:34:45"
28.0,"2019-10-23 07:34:24"
27.9,"2019-10-23 07:30:54"
27.8,"2019-10-23 07:30:44"
27.9,"2019-10-23 07:30:34"
27.8,"2019-10-23 07:30:14"
27.9,"2019-10-23 07:30:04"
27.8,"2019-10-23 07:29:54"
27.9,"2019-10-23 07:29:44"
27.8,"2019-10-23 07:29:24"
27.9,"2019-10-23 07:29:14"
27.8,"2019-10-23 07:28:54"
27.9,"2019-10-23 07:28:24"
27.8,"2019-10-23 07:28:14"
27.9,"2019-10-23 07:27:44"
27.8,"2019-10-23 07:27:24"
27.9,"2019-10-23 07:27:04"
27.8,"2019-10-23 07:26:54"
27.9,"2019-10-23 07:26:44"
27.8,"2019-10-23 07:25:44"
27.9,"2019-10-23 07:25:34"
27.8,"2019-10-23 07:25:14"
27.9,"2019-10-23 07:23:54"
27.8,"2019-10-23 07:23:24"
27.9,"2019-10-23 07:23:14"
27.8,"2019-10-23 07:22:54"
27.9,"2019-10-23 07:17:14"
28.0,"2019-10-23 07:15:34"
28.1,"2019-10-23 07:15:24"
28.0,"2019-10-23 07:14:54"
28.1,"2019-10-23 07:12:24"
28.0,"2019-10-23 07:00:24"
28.1,"2019-10-23 07:00:04"
28.0,"2019-10-23 06:44:34"
27.9,"2019-10-23 06:44:24"
28.0,"2019-10-23 06:44:14"
27.9,"2019-10-23 06:37:14"
27.8,"2019-10-23 06:36:34"
27.9,"2019-10-23 06:36:24"
27.8,"2019-10-23 06:35:44"
27.9,"2019-10-23 06:35:34"
27.8,"2019-10-23 06:35:24"
27.9,"2019-10-23 06:35:14"
27.8,"2019-10-23 06:34:24"
27.9,"2019-10-23 06:34:14"
27.8,"2019-10-23 06:34:04"
27.9,"2019-10-23 06:33:44"
27.8,"2019-10-23 06:33:24"
27.9,"2019-10-23 06:32:44"
27.8,"2019-10-23 06:32:34"
27.9,"2019-10-23 06:28:54"
27.8,"2019-10-23 06:28:44"
27.9,"2019-10-23 06:27:24"
27.8,"2019-10-23 06:27:14"
27.9,"2019-10-23 06:27:04"
27.8,"2019-10-23 06:26:54"
27.9,"2019-10-23 06:26:44"
27.8,"2019-10-23 06:26:34"
27.9,"2019-10-23 06:26:14"
27.8,"2019-10-23 06:25:54"
27.9,"2019-10-23 06:25:44"
27.8,"2019-10-23 06:25:34"
27.9,"2019-10-23 06:25:24"
27.8,"2019-10-23 06:24:54"
27.9,"2019-10-23 06:24:44"
27.8,"2019-10-23 06:23:04"
27.7,"2019-10-23 05:47:04"
27.6,"2019-10-23 05:46:54"
27.7,"2019-10-23 05:46:04"
27.6,"2019-10-23 05:45:54"
27.7,"2019-10-23 05:45:24"
27.6,"2019-10-23 05:45:14"
27.7,"2019-10-23 05:45:04"
27.6,"2019-10-23 05:29:44"
27.7,"2019-10-23 05:29:34"
27.6,"2019-10-23 04:56:54"
27.7,"2019-10-23 04:56:44"
27.6,"2019-10-23 04:56:24"
27.7,"2019-10-23 04:56:14"
27.6,"2019-10-23 04:55:54"
27.7,"2019-10-23 04:55:24"
27.6,"2019-10-23 04:54:54"
27.7,"2019-10-23 04:54:34"
27.6,"2019-10-23 04:47:14"
27.7,"2019-10-23 04:47:04"
27.6,"2019-10-23 04:46:54"
27.7,"2019-10-23 04:46:34"
27.6,"2019-10-23 04:46:04"
27.7,"2019-10-23 04:45:54"
27.6,"2019-10-23 04:45:44"
27.7,"2019-10-23 04:45:34"
27.6,"2019-10-23 04:45:24"
27.7,"2019-10-23 04:45:14"
27.6,"2019-10-23 04:45:04"
27.7,"2019-10-23 04:44:44"
27.6,"2019-10-23 04:44:34"
27.7,"2019-10-23 04:43:24"
27.6,"2019-10-23 04:43:04"
27.7,"2019-10-23 04:42:54"
27.6,"2019-10-23 04:42:34"
27.7,"2019-10-23 04:41:34"
27.6,"2019-10-23 04:41:24"
27.7,"2019-10-23 04:41:14"
27.6,"2019-10-23 04:41:04"
27.7,"2019-10-23 04:39:24"
27.6,"2019-10-23 04:39:04"
27.7,"2019-10-23 04:38:54"
27.6,"2019-10-23 04:38:14"
27.7,"2019-10-23 04:37:55"
27.6,"2019-10-23 04:37:14"
27.7,"2019-10-23 04:36:54"
27.6,"2019-10-23 04:36:24"
27.7,"2019-10-23 04:36:14"
27.6,"2019-10-23 04:36:04"
27.7,"2019-10-23 04:35:44"
27.6,"2019-10-23 04:35:34"
