temp_out,statetime
29.0,"2019-10-22 10:55:04"
28.0,"2019-10-22 10:37:34"
27.0,"2019-10-22 10:34:34"
28.0,"2019-10-22 10:34:04"
27.0,"2019-10-22 10:09:34"
26.0,"2019-10-22 09:56:33"
27.0,"2019-10-22 09:55:33"
26.0,"2019-10-22 09:45:03"
28.0,"2019-10-22 09:44:34"
26.0,"2019-10-22 09:36:03"
27.0,"2019-10-22 09:33:33"
26.0,"2019-10-22 09:33:03"
27.0,"2019-10-22 09:29:33"
26.0,"2019-10-22 09:28:03"
27.0,"2019-10-22 09:25:33"
26.0,"2019-10-22 09:25:03"
27.0,"2019-10-22 09:24:33"
26.0,"2019-10-22 09:21:33"
27.0,"2019-10-22 09:20:03"
26.0,"2019-10-22 09:19:33"
27.0,"2019-10-22 09:15:33"
26.0,"2019-10-22 09:15:04"
27.0,"2019-10-22 09:14:33"
26.0,"2019-10-22 09:14:03"
27.0,"2019-10-22 09:13:33"
26.0,"2019-10-22 09:11:33"
27.0,"2019-10-22 09:11:03"
26.0,"2019-10-22 09:10:03"
27.0,"2019-10-22 09:09:03"
26.0,"2019-10-22 09:08:33"
27.0,"2019-10-22 09:07:33"
26.0,"2019-10-22 09:07:03"
27.0,"2019-10-22 09:02:33"
26.0,"2019-10-22 08:04:33"
25.0,"2019-10-22 07:59:03"
26.0,"2019-10-22 07:58:33"
25.0,"2019-10-22 07:55:33"
26.0,"2019-10-22 07:51:33"
25.0,"2019-10-22 07:50:03"
26.0,"2019-10-22 07:45:33"
25.0,"2019-10-22 07:45:03"
26.0,"2019-10-22 07:43:03"
25.0,"2019-10-22 07:32:03"
24.0,"2019-10-22 07:30:34"
25.0,"2019-10-22 07:24:03"
24.0,"2019-10-22 07:15:33"
25.0,"2019-10-22 07:14:03"
24.0,"2019-10-22 07:12:33"
25.0,"2019-10-22 07:11:04"
24.0,"2019-10-22 07:09:33"
25.0,"2019-10-22 07:09:03"
24.0,"2019-10-22 06:46:33"
25.0,"2019-10-22 06:46:03"
24.0,"2019-10-22 05:31:33"
23.0,"2019-10-22 05:30:03"
24.0,"2019-10-22 05:20:03"
23.0,"2019-10-22 05:18:33"
24.0,"2019-10-22 05:18:03"
23.0,"2019-10-22 05:10:03"
22.0,"2019-10-22 05:09:33"
23.0,"2019-10-22 05:09:03"
22.0,"2019-10-22 05:05:03"
23.0,"2019-10-22 05:00:03"
22.0,"2019-10-22 04:34:33"
23.0,"2019-10-22 04:34:03"
22.0,"2019-10-22 04:13:33"
23.0,"2019-10-22 04:13:03"
22.0,"2019-10-22 04:09:33"
23.0,"2019-10-22 04:07:33"
22.0,"2019-10-22 04:06:33"
23.0,"2019-10-22 03:58:03"
24.0,"2019-10-22 03:57:33"
23.0,"2019-10-22 03:54:33"
22.0,"2019-10-22 03:35:03"
23.0,"2019-10-22 03:33:33"
22.0,"2019-10-22 03:33:03"
23.0,"2019-10-22 03:29:33"
22.0,"2019-10-22 03:26:03"
23.0,"2019-10-22 03:25:33"
22.0,"2019-10-22 03:25:03"
23.0,"2019-10-22 03:24:03"
22.0,"2019-10-22 03:23:03"
23.0,"2019-10-22 03:22:33"
22.0,"2019-10-22 03:22:03"
23.0,"2019-10-22 03:16:03"
22.0,"2019-10-22 03:15:33"
23.0,"2019-10-22 03:15:03"
22.0,"2019-10-22 03:14:33"
23.0,"2019-10-22 03:11:33"
22.0,"2019-10-22 03:11:03"
23.0,"2019-10-22 03:09:33"
22.0,"2019-10-22 03:09:03"
23.0,"2019-10-22 03:07:33"
22.0,"2019-10-22 02:59:03"
23.0,"2019-10-22 02:58:33"
22.0,"2019-10-22 02:54:33"
23.0,"2019-10-22 02:52:33"
24.0,"2019-10-22 02:52:03"
23.0,"2019-10-22 02:41:03"
24.0,"2019-10-22 02:40:33"
23.0,"2019-10-22 02:31:33"
22.0,"2019-10-22 02:31:03"
23.0,"2019-10-22 02:29:33"
22.0,"2019-10-22 02:27:33"
23.0,"2019-10-22 02:27:03"
22.0,"2019-10-22 02:23:03"
23.0,"2019-10-22 02:21:03"
22.0,"2019-10-22 02:20:03"
23.0,"2019-10-22 02:19:03"
22.0,"2019-10-22 02:18:03"
23.0,"2019-10-22 01:45:33"
24.0,"2019-10-22 01:45:03"
23.0,"2019-10-22 01:44:03"
24.0,"2019-10-22 01:43:33"
23.0,"2019-10-22 01:43:03"
24.0,"2019-10-22 01:42:33"
23.0,"2019-10-22 01:42:03"
24.0,"2019-10-22 01:41:33"
23.0,"2019-10-22 01:41:03"
24.0,"2019-10-22 01:39:33"
23.0,"2019-10-22 01:31:03"
24.0,"2019-10-22 00:28:03"
23.0,"2019-10-22 00:27:33"
24.0,"2019-10-22 00:25:03"
23.0,"2019-10-22 00:24:03"
24.0,"2019-10-22 00:23:33"
23.0,"2019-10-22 00:23:03"
24.0,"2019-10-22 00:22:03"
23.0,"2019-10-22 00:21:33"
24.0,"2019-10-22 00:19:33"
23.0,"2019-10-22 00:18:33"
24.0,"2019-10-22 00:18:03"
23.0,"2019-10-22 00:17:33"
24.0,"2019-10-22 00:13:03"
23.0,"2019-10-22 00:12:33"
24.0,"2019-10-21 21:22:03"
25.0,"2019-10-21 21:21:33"
24.0,"2019-10-21 21:19:03"
25.0,"2019-10-21 21:18:33"
24.0,"2019-10-21 21:09:03"
25.0,"2019-10-21 21:08:03"
24.0,"2019-10-21 21:04:33"
25.0,"2019-10-21 21:04:03"
24.0,"2019-10-21 21:03:33"
25.0,"2019-10-21 20:59:33"
24.0,"2019-10-21 20:52:03"
25.0,"2019-10-21 20:51:33"
24.0,"2019-10-21 20:46:03"
25.0,"2019-10-21 20:45:33"
24.0,"2019-10-21 20:43:03"
25.0,"2019-10-21 19:53:03"
26.0,"2019-10-21 19:52:03"
25.0,"2019-10-21 19:40:33"
26.0,"2019-10-21 18:25:03"
27.0,"2019-10-21 18:24:03"
26.0,"2019-10-21 18:23:03"
27.0,"2019-10-21 17:46:33"
28.0,"2019-10-21 17:46:03"
27.0,"2019-10-21 17:45:33"
28.0,"2019-10-21 17:43:33"
27.0,"2019-10-21 17:43:03"
28.0,"2019-10-21 17:42:03"
27.0,"2019-10-21 17:41:33"
28.0,"2019-10-21 17:40:33"
27.0,"2019-10-21 17:40:03"
28.0,"2019-10-21 17:39:33"
27.0,"2019-10-21 17:39:03"
28.0,"2019-10-21 16:16:33"
29.0,"2019-10-21 16:16:03"
28.0,"2019-10-21 16:15:33"
29.0,"2019-10-21 16:06:03"
28.0,"2019-10-21 16:05:33"
29.0,"2019-10-21 15:46:33"
30.0,"2019-10-21 15:34:03"
31.0,"2019-10-21 15:30:03"
32.0,"2019-10-21 15:24:33"
33.0,"2019-10-21 15:23:03"
32.0,"2019-10-21 15:22:33"
33.0,"2019-10-21 15:20:03"
34.0,"2019-10-21 15:17:03"
35.0,"2019-10-21 15:12:33"
36.0,"2019-10-21 15:07:03"
37.0,"2019-10-21 15:01:33"
38.0,"2019-10-21 14:56:03"
39.0,"2019-10-21 14:53:03"
40.0,"2019-10-21 14:51:33"
41.0,"2019-10-21 14:36:33"
42.0,"2019-10-21 14:30:03"
43.0,"2019-10-21 14:23:02"
44.0,"2019-10-21 14:21:33"
43.0,"2019-10-21 14:21:03"
44.0,"2019-10-21 14:20:33"
45.0,"2019-10-21 13:59:33"
46.0,"2019-10-21 13:59:02"
45.0,"2019-10-21 13:31:32"
46.0,"2019-10-21 13:30:32"
