humidity_in,statetime
43.0,"2019-10-23 13:04:44"
42.0,"2019-10-23 13:04:34"
43.0,"2019-10-23 13:04:24"
42.0,"2019-10-23 13:01:34"
41.0,"2019-10-23 13:00:34"
42.0,"2019-10-23 13:00:24"
41.0,"2019-10-23 12:59:34"
42.0,"2019-10-23 12:56:34"
43.0,"2019-10-23 12:55:34"
44.0,"2019-10-23 12:53:54"
45.0,"2019-10-23 12:53:44"
46.0,"2019-10-23 12:53:34"
47.0,"2019-10-23 12:52:54"
46.0,"2019-10-23 12:52:44"
45.0,"2019-10-23 12:52:34"
43.0,"2019-10-23 12:51:14"
44.0,"2019-10-23 12:50:54"
45.0,"2019-10-23 12:50:44"
44.0,"2019-10-23 12:50:34"
45.0,"2019-10-23 12:50:14"
46.0,"2019-10-23 12:49:44"
48.0,"2019-10-23 12:48:54"
47.0,"2019-10-23 12:48:44"
46.0,"2019-10-23 12:48:34"
44.0,"2019-10-23 12:48:04"
45.0,"2019-10-23 12:47:54"
44.0,"2019-10-23 12:47:44"
45.0,"2019-10-23 12:47:14"
46.0,"2019-10-23 12:46:54"
47.0,"2019-10-23 12:46:24"
48.0,"2019-10-23 12:46:14"
49.0,"2019-10-23 12:45:44"
48.0,"2019-10-23 12:45:34"
47.0,"2019-10-23 12:45:24"
46.0,"2019-10-23 12:45:14"
45.0,"2019-10-23 12:45:04"
44.0,"2019-10-23 12:44:54"
43.0,"2019-10-23 12:44:44"
44.0,"2019-10-23 12:43:54"
45.0,"2019-10-23 12:43:14"
46.0,"2019-10-23 12:43:04"
47.0,"2019-10-23 12:42:44"
46.0,"2019-10-23 12:42:34"
45.0,"2019-10-23 12:42:24"
44.0,"2019-10-23 12:41:56"
45.0,"2019-10-23 12:40:44"
46.0,"2019-10-23 12:40:04"
47.0,"2019-10-23 12:39:14"
48.0,"2019-10-23 12:37:54"
49.0,"2019-10-23 12:37:24"
48.0,"2019-10-23 12:37:14"
50.0,"2019-10-23 12:37:04"
51.0,"2019-10-23 12:36:54"
52.0,"2019-10-23 12:35:44"
51.0,"2019-10-23 12:35:34"
50.0,"2019-10-23 12:35:24"
49.0,"2019-10-23 12:35:14"
47.0,"2019-10-23 12:34:34"
48.0,"2019-10-23 12:33:54"
49.0,"2019-10-23 12:33:44"
48.0,"2019-10-23 12:33:34"
50.0,"2019-10-23 12:33:04"
51.0,"2019-10-23 12:32:54"
52.0,"2019-10-23 12:32:14"
51.0,"2019-10-23 12:32:04"
50.0,"2019-10-23 12:31:54"
48.0,"2019-10-23 12:31:04"
49.0,"2019-10-23 12:29:44"
50.0,"2019-10-23 12:29:04"
49.0,"2019-10-23 12:28:44"
50.0,"2019-10-23 12:28:34"
51.0,"2019-10-23 12:28:25"
52.0,"2019-10-23 12:28:14"
53.0,"2019-10-23 12:27:54"
52.0,"2019-10-23 12:26:54"
51.0,"2019-10-23 12:26:44"
50.0,"2019-10-23 12:26:34"
49.0,"2019-10-23 12:26:24"
48.0,"2019-10-23 12:26:14"
